game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
WED8:20 PM ET,NE,SEA,NE @ SEA,Drake Maye,Sam Darnold,None,"5% Precipitation
70°  10 mph NNW Wind",SEA-3.5,44.5,2026-09-02 17:47:31
THU8:35 PM ET,SF,LAR,SF @ LAR,Brock Purdy,M. Stafford,"C. McCaffrey (RB)-Q, Mike Evans (WR)-Q, D. Stribling (WR)-Q, G. Kittle (TE)-Q, Puka Nacua (WR)-Q","Dome
In Domed Stadium",LAR-3.5,48.0,2026-09-02 17:47:31
SUN1:00 PM ET,CHI,CAR,CHI @ CAR,C. Williams,Bryce Young,"L. Burden (WR)-Q, C. Hubbard (RB)-Q, X. Legette (WR)-Q","13% Rain
85°  5 mph SE Wind",CHI-2.5,47.5,2026-09-02 17:47:32
SUN1:00 PM ET,TB,CIN,TB @ CIN,B. Mayfield,Joe Burrow,"Emeka Egbuka (WR)-Q, J. McMillan (WR)-Q, J. Chase (WR)-Q, Tee Higgins (WR)-Q","19% Precipitation
88°  5 mph SSW Wind",CIN-4,50.5,2026-09-02 17:47:32
SUN1:00 PM ET,NO,DET,NO @ DET,Tyler Shough,Jared Goff,Sam LaPorta (TE)-Q,"Dome
In Domed Stadium",DET-7,50.0,2026-09-02 17:47:32
SUN1:00 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,C.J. Stroud,"K. Shakir (WR)-Q, Keon Coleman (WR)-Q, Jaylin Noel (WR)-Q","Dome
In Domed Stadium",BUF-1.5,44.5,2026-09-02 17:47:33
SUN1:00 PM ET,BAL,IND,BAL @ IND,L. Jackson,Daniel Jones,"Zay Flowers (WR)-Q, Alec Pierce (WR)-Q, Josh Downs (WR)-Q, Tyler Warren (TE)-Q","Dome
In Domed Stadium",BAL-3.5,48.0,2026-09-02 17:47:33
SUN1:00 PM ET,CLE,JAX,CLE @ JAX,D. Watson,T. Lawrence,"B. Tuten (RB)-Q, J. Meyers (WR)-Q","16% Precipitation
90°  6 mph E Wind",JAX-8,40.5,2026-09-02 17:47:33
SUN1:00 PM ET,ATL,PIT,ATL @ PIT,T. Tagovailoa,A. Rodgers,"DK Metcalf (WR)-Q, M. Pittman (WR)-Q","10% Precipitation
80°  4 mph SW Wind",PIT-3,41.5,2026-09-02 17:47:34
SUN1:00 PM ET,NYJ,TEN,NYJ @ TEN,Geno Smith,Cam Ward,"Breece Hall (RB)-Q, Carnell Tate (WR)-Q, W. Robinson (WR)-Q","13% Precipitation
92°  6 mph SSW Wind",TEN-1.5,39.5,2026-09-02 17:47:34
SUN4:25 PM ET,MIA,LV,MIA @ LV,Malik Willis,Kirk Cousins,A. Jeanty (RB)-Q,"Dome
In Domed Stadium",LV -3.5,40.5,2026-09-02 17:47:34
SUN4:25 PM ET,ARI,LAC,ARI @ LAC,J. Brissett,J. Herbert,"J. Love (RB)-Q, Tre' Harris (WR)-Q, C. Dicker (K)-Q","Dome
In Domed Stadium",LAC-10,47.0,2026-09-02 17:47:35
SUN4:25 PM ET,GB,MIN,GB @ MIN,Jordan Love,Kyler Murray,Tucker Kraft (TE)-Q,"Dome
In Domed Stadium",MIN-1.5,45.5,2026-09-02 17:47:35
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,J. Daniels,Jalen Hurts,J. Croskey-Merritt (RB)-Q,"26% Precipitation
81°  5 mph SW Wind",PHI-4.5,45.5,2026-09-02 17:47:35
SUN8:20 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,Malik Nabers (WR)-Q,"32% Precipitation
73°  8 mph SSW Wind",DAL-3,48.5,2026-09-02 17:47:36
MON8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,P. Mahomes,P. Mahomes (QB)-Q,No weather info available,KC -2.5,43.5,2026-09-02 17:47:36
