game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
WED8:20 PM ET,NE,SEA,NE @ SEA,Drake Maye,Sam Darnold,"A.J. Brown (WR)-Q, Sam Darnold (QB)-D","0%
78°  5 mph NW Wind",SEA-3,44.5,2026-09-11 02:23:58
THU8:35 PM ET,SF,LAR,SF @ LAR,Brock Purdy,M. Stafford,None,"Dome
In Domed Stadium",LAR-3.5,47.5,2026-09-11 02:23:58
SUN1:00 PM ET,CHI,CAR,CHI @ CAR,C. Williams,Bryce Young,Rome Odunze (WR)-Q,"9% Precipitation
86°  2 mph WNW Wind",CHI-3,47.0,2026-09-11 02:23:59
SUN1:00 PM ET,TB,CIN,TB @ CIN,B. Mayfield,Joe Burrow,J. McMillan (WR)-Q,"7% Precipitation
82°  4 mph W Wind",CIN-3.5,50.5,2026-09-11 02:23:59
SUN1:00 PM ET,NO,DET,NO @ DET,Tyler Shough,Jared Goff,None,"Dome
In Domed Stadium",DET-7,50.0,2026-09-11 02:23:59
SUN1:00 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,C.J. Stroud,None,"Dome
In Domed Stadium",BUF-1.5,44.5,2026-09-11 02:23:59
SUN1:00 PM ET,BAL,IND,BAL @ IND,L. Jackson,Daniel Jones,Alec Pierce (WR)-Q,"Dome
In Domed Stadium",BAL-3.5,48.0,2026-09-11 02:24:00
SUN1:00 PM ET,CLE,JAX,CLE @ JAX,D. Watson,T. Lawrence,J. Meyers (WR)-Q,"18% Precipitation
89°  4 mph SW Wind",JAX-8.5,40.0,2026-09-11 02:24:00
SUN1:00 PM ET,ATL,PIT,ATL @ PIT,T. Tagovailoa,A. Rodgers,T. Tagovailoa (QB)-Q,"9% Precipitation
79°  7 mph W Wind",PIT-4.5,41.5,2026-09-11 02:24:00
SUN1:00 PM ET,NYJ,TEN,NYJ @ TEN,Geno Smith,Cam Ward,None,"4% Precipitation
87°  3 mph NW Wind",TEN-1.5,38.5,2026-09-11 02:24:00
SUN4:25 PM ET,MIA,LV,MIA @ LV,Malik Willis,Kirk Cousins,None,"Dome
In Domed Stadium",LV -3,40.5,2026-09-11 02:24:32
SUN4:25 PM ET,ARI,LAC,ARI @ LAC,J. Brissett,J. Herbert,J. Love (RB)-Q,"Dome
In Domed Stadium",LAC-9.5,47.5,2026-09-11 02:24:32
SUN4:25 PM ET,GB,MIN,GB @ MIN,Jordan Love,Kyler Murray,None,"Dome
In Domed Stadium",MIN-1.5,46.5,2026-09-11 02:24:32
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,J. Daniels,Jalen Hurts,None,"22% Precipitation
82°  6 mph W Wind",PHI-5.5,44.0,2026-09-11 02:24:33
SUN8:20 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,Malik Nabers (WR)-Q,"8% Precipitation
76°  5 mph WSW Wind",DAL-3,48.0,2026-09-11 02:24:33
MON8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,P. Mahomes,None,"18% Precipitation
87°  14 mph S Wind",KC -2.5,43.5,2026-09-11 02:24:33
