game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
WED8:20 PM ET,NE,SEA,NE @ SEA,Drake Maye,Sam Darnold,None,"0%
72°  7 mph N Wind",SEA-3.5,44.5,2026-09-06 18:35:45
THU8:35 PM ET,SF,LAR,SF @ LAR,Brock Purdy,M. Stafford,"C. McCaffrey (RB)-Q, Mike Evans (WR)-Q, D. Stribling (WR)-Q, G. Kittle (TE)-Q, Puka Nacua (WR)-Q","Dome
In Domed Stadium",LAR-3.5,48.0,2026-09-06 18:35:47
SUN1:00 PM ET,CHI,CAR,CHI @ CAR,C. Williams,Bryce Young,"D. Swift (RB)-Q, Rome Odunze (WR)-Q, L. Burden (WR)-Q, C. Hubbard (RB)-Q, X. Legette (WR)-Q","20% Precipitation
86°  4 mph WSW Wind",CHI-2.5,47.0,2026-09-06 18:35:47
SUN1:00 PM ET,TB,CIN,TB @ CIN,B. Mayfield,Joe Burrow,"J. McMillan (WR)-Q, J. Chase (WR)-Q, Tee Higgins (WR)-Q","29% Precipitation
79°  10 mph WSW Wind",CIN-4,50.5,2026-09-06 18:35:48
SUN1:00 PM ET,NO,DET,NO @ DET,Tyler Shough,Jared Goff,Sam LaPorta (TE)-Q,"Dome
In Domed Stadium",DET-7,50.0,2026-09-06 18:35:48
SUN1:00 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,C.J. Stroud,"K. Shakir (WR)-Q, Jaylin Noel (WR)-Q","Dome
In Domed Stadium",BUF-1.5,44.5,2026-09-06 18:35:49
SUN1:00 PM ET,BAL,IND,BAL @ IND,L. Jackson,Daniel Jones,"Zay Flowers (WR)-Q, Josh Downs (WR)-Q, Tyler Warren (TE)-Q","Dome
In Domed Stadium",BAL-3.5,48.0,2026-09-06 18:35:50
SUN1:00 PM ET,CLE,JAX,CLE @ JAX,D. Watson,T. Lawrence,"B. Tuten (RB)-Q, J. Meyers (WR)-Q","38% Precipitation
89°  5 mph S Wind",JAX-8,40.5,2026-09-06 18:35:50
SUN1:00 PM ET,ATL,PIT,ATL @ PIT,T. Tagovailoa,A. Rodgers,"DK Metcalf (WR)-Q, M. Pittman (WR)-Q","27% Precipitation
77°  10 mph SW Wind",PIT-3.5,42.5,2026-09-06 18:35:51
SUN1:00 PM ET,NYJ,TEN,NYJ @ TEN,Geno Smith,Cam Ward,"Breece Hall (RB)-Q, Carnell Tate (WR)-Q, W. Robinson (WR)-Q","32% Precipitation
85°  9 mph SW Wind",TEN-1.5,39.5,2026-09-06 18:35:51
SUN4:25 PM ET,MIA,LV,MIA @ LV,Malik Willis,Kirk Cousins,A. Jeanty (RB)-Q,"Dome
In Domed Stadium",LV -3.5,40.5,2026-09-06 18:35:52
SUN4:25 PM ET,ARI,LAC,ARI @ LAC,J. Brissett,J. Herbert,"J. Love (RB)-Q, Tre' Harris (WR)-Q, C. Dicker (K)-Q","Dome
In Domed Stadium",LAC-10,47.0,2026-09-06 18:35:52
SUN4:25 PM ET,GB,MIN,GB @ MIN,Jordan Love,Kyler Murray,Tucker Kraft (TE)-Q,"Dome
In Domed Stadium",MIN-1.5,46.5,2026-09-06 18:35:53
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,J. Daniels,Jalen Hurts,None,"11% Precipitation
83°  10 mph SW Wind",PHI-5,44.5,2026-09-06 18:35:53
SUN8:20 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,Malik Nabers (WR)-Q,"10% Precipitation
75°  11 mph SSW Wind",DAL-3,48.5,2026-09-06 18:35:54
MON8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,P. Mahomes,P. Mahomes (QB)-Q,"19% Precipitation
71°  10 mph SSW Wind",KC -2.5,43.5,2026-09-06 18:35:54
