team,player,pos,status,injury,description,date
Arizona Cardinals,Zay Jones,WR,Out,Achilles,Jones is out with achilles,Nov 11
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 23
Arizona Cardinals,Kyler Murray,QB,Out,Foot,Murray is out with foot,Oct 31
Arizona Cardinals,Bam Knight,RB,Questionable,Knee,Knight is questionable with knee,Nov 29
Arizona Cardinals,Emari Demercado,RB,Out,Ankle,Demercado is out with ankle,Nov 18
Arizona Cardinals,Marvin Harrison,WR,Questionable,Appendix,Harrison is questionable with appendix,Nov 29
Arizona Cardinals,Trey Benson,RB,Out,Knee,Benson is out with knee,Nov 28
Arizona Cardinals,Tip Reiman,TE,Out,Ankle,Reiman is out with ankle,Oct 7
Atlanta Falcons,Drake London,WR,Out,Knee,London is out with knee,Nov 18
Atlanta Falcons,Michael Penix,QB,Out,Knee,Penix is out with knee,Nov 18
Baltimore Ravens,Justice Hill,RB,Out,Neck,Hill is out with neck,Nov 29
Buffalo Bills,Curtis Samuel,WR,Out,Elbow,Samuel is out with elbow,Nov 19
Buffalo Bills,Mecole Hardman,WR,Out,Calf,Hardman is out with calf,Nov 19
Buffalo Bills,Tyler Bass,K,Out,Did Not Participate In Practice,Bass is out with hip,Sep 5
Buffalo Bills,Joshua Palmer,WR,Questionable,Ankle,Palmer is questionable with ankle,Nov 29
Buffalo Bills,Dalton Kincaid,TE,Questionable,Hamstring,Kincaid is questionable with hamstring,Nov 28
Carolina Panthers,David Moore,WR,Out,Elbow,Moore is out with elbow,Oct 2
Carolina Panthers,Jaycee Horn,CB,Out,Concussion,Horn is out with concussion,Nov 29
Carolina Panthers,Damarri Mathis,CB,Out,Did Not Participate In Practice,Mathis is out with knee,Sep 5
Cincinnati Bengals,Tee Higgins,WR,Out,Concussion,Higgins is out with concussion,Nov 25
Cincinnati Bengals,Tahj Brooks,RB,Out,Concussion,Brooks is out with concussion,Nov 25
Cleveland Browns,DeAndre Carter,WR,Out,Knee,Carter is out with knee,Sep 30
Cleveland Browns,Jerome Ford,RB,Questionable,Hamstring,Ford is questionable with hamstring,Nov 29
Cleveland Browns,Brenden Bates,TE,Out,Ankle,Bates is out with ankle,Nov 29
Dallas Cowboys,Miles Sanders,RB,Out,Ankle,Sanders is out with ankle,Oct 5
Denver Broncos,J.K. Dobbins,RB,Out,Foot,Dobbins is out with foot,Nov 12
Denver Broncos,Nate Adkins,TE,Out,Ankle,Adkins is out with ankle,Nov 29
Detroit Lions,Kalif Raymond,WR,Out,Ankle,Raymond is out with ankle,Nov 26
Detroit Lions,Jamarco Jones,T,Out,Did Not Participate In Practice,Jones is out with ankle,Sep 5
Detroit Lions,Brock Wright,TE,Out,Neck,Wright is out with neck,Nov 26
Detroit Lions,Shane Zylstra,TE,Out,Ankle,Zylstra is out with ankle,Sep 19
Detroit Lions,Sam LaPorta,TE,Out,Back,LaPorta is out with back,Nov 14
Green Bay Packers,Tucker Kraft,TE,Out,Knee,Kraft is out with knee,Nov 4
Green Bay Packers,Jayden Reed,WR,Out,Collarbone,Reed is out with collarbone,Nov 26
Green Bay Packers,MarShawn Lloyd,RB,Out,Hamstring,Lloyd is out with hamstring,Sep 2
Green Bay Packers,Matthew Golden,WR,Out,Shoulder,Golden is out with shoulder,Nov 27
Houston Texans,Joe Mixon,RB,Out,Knee,Mixon is out with knee,Sep 2
Houston Texans,Harrison Bryant,TE,Out,Neck,Bryant is out with neck,Nov 14
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 2
Indianapolis Colts,Tyler Warren,TE,Questionable,Illness,Warren is questionable with illness,Nov 29
Jacksonville Jaguars,Travis Hunter,WR,Out,Knee,Hunter is out with knee,Oct 31
Las Vegas Raiders,DJ Turner,WR,Out,Knee,Turner is out with knee,Dec 3
Las Vegas Raiders,Zamir White,RB,Questionable,Illness,White is questionable with illness,Nov 29
Las Vegas Raiders,Michael Mayer,TE,Out,Ankle,Mayer is out with ankle,Nov 27
Los Angeles Chargers,Najee Harris,RB,Out,Achilles,Harris is out with achilles,Sep 23
Los Angeles Chargers,Hassan Haskins,RB,Out,Hamstring,Haskins is out with hamstring,Oct 21
Los Angeles Chargers,Omarion Hampton,RB,Out,Ankle,Hampton is out with ankle,Nov 29
Los Angeles Rams,Tyler Higbee,TE,Out,Ankle,Higbee is out with ankle,Nov 19
Miami Dolphins,Tyreek Hill,WR,Out,Knee,Hill is out with knee,Sep 30
Minnesota Vikings,Rondale Moore,WR,Out,Knee,Moore is out with knee,Sep 2
Minnesota Vikings,J.J. McCarthy,QB,Out,Concussion,McCarthy is out with concussion,Nov 25
New England Patriots,Antonio Gibson,RB,Out,Knee,Gibson is out with knee,Oct 7
New England Patriots,Charles Woods,CB,Questionable,Full Participation In Practice,Woods is questionable with concussion,Sep 5
New Orleans Saints,Alvin Kamara,RB,Out,Knee,Kamara is out with knee,Nov 25
New Orleans Saints,Chris Olave,WR,Questionable,Back,Olave is questionable with back,Nov 28
New Orleans Saints,Kendre Miller,RB,Out,Knee,Miller is out with knee,Oct 21
New York Giants,Malik Nabers,WR,Out,Knee,Nabers is out with knee,Sep 30
New York Giants,Cam Skattebo,RB,Out,Ankle,Skattebo is out with ankle,Oct 28
New York Jets,Josh Reynolds,WR,Out,Hip,Reynolds is out with hip,Oct 25
New York Jets,Allen Lazard,WR,Questionable,Neck,Lazard is questionable with neck,Nov 29
New York Jets,Alijah Vera-Tucker,G,Out,Did Not Participate In Practice,Vera-Tucker is out with triceps,Sep 5
New York Jets,Garrett Wilson,WR,Out,Knee,Wilson is out with knee,Nov 11
New York Jets,Braelon Allen,RB,Out,Knee,Allen is out with knee,Sep 30
Pittsburgh Steelers,Marquez Valdes-Scantling,WR,Out,Calf,Valdes-Scantling is out with calf,Oct 17
San Francisco 49ers,Brandon Aiyuk,WR,Out,Knee,Aiyuk is out with knee,Sep 2
San Francisco 49ers,Jacob Cowing,WR,Out,Hamstring,Cowing is out with hamstring,Sep 2
Seattle Seahawks,Dareke Young,WR,Out,Quad,Young is out with quad,Nov 7
Seattle Seahawks,George Holani,RB,Out,Hamstring,Holani is out with hamstring,Nov 25
Seattle Seahawks,Tory Horton,WR,Out,Groin,Horton is out with groin,Nov 21
Tampa Bay Buccaneers,Mike Evans,WR,Out,Collarbone,Evans is out with collarbone,Oct 21
Tampa Bay Buccaneers,Ko Kieft,TE,Out,Leg,Kieft is out with leg,Sep 23
Tampa Bay Buccaneers,Bucky Irving,RB,Questionable,Foot,Irving is questionable with foot,Nov 25
Tampa Bay Buccaneers,Benjamin Morrison,CB,Out,Limited Participation In Practice,Morrison is out with quad,Sep 5
Tennessee Titans,Calvin Ridley,WR,Out,Leg,Ridley is out with leg,Nov 18
Tennessee Titans,Chig Okonkwo,TE,Questionable,Foot,Okonkwo is questionable with foot,Nov 29
Tennessee Titans,Bryce Oliver,WR,Out,Knee,Oliver is out with knee,Nov 14
Tennessee Titans,Elic Ayomanor,WR,Questionable,Hamstring,Ayomanor is questionable with hamstring,Nov 29
Washington Commanders,Noah Brown,WR,Out,Groin,Brown is out with groin,Nov 28
Washington Commanders,Austin Ekeler,RB,Out,Achilles,Ekeler is out with achilles,Sep 16
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Nov 4
Washington Commanders,Luke McCaffrey,WR,Out,Collarbone,McCaffrey is out with collarbone,Nov 4
