team,player,pos,status,injury,description,date
Arizona Cardinals,Zay Jones,WR,Out,Achilles,Jones is out with achilles,Nov 11
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 23
Arizona Cardinals,Greg Dortch,WR,Out,Chest,Dortch is out with chest,Dec 5
Arizona Cardinals,Kyler Murray,QB,Out,Foot,Murray is out with foot,Oct 31
Arizona Cardinals,Emari Demercado,RB,Questionable,Ankle,Demercado is questionable with ankle,Dec 9
Arizona Cardinals,Marvin Harrison,WR,Questionable,Heel,Harrison is questionable with heel,Dec 9
Arizona Cardinals,Trey Benson,RB,Out,Knee,Benson is out with knee,Dec 5
Arizona Cardinals,Tip Reiman,TE,Out,Ankle,Reiman is out with ankle,Oct 7
Arizona Cardinals,Xavier Weaver,WR,Questionable,Hamstring,Weaver is questionable with hamstring,Dec 9
Atlanta Falcons,Kyle Pitts,TE,Questionable,Knee,Pitts is questionable with knee,Dec 10
Atlanta Falcons,Drake London,WR,Out,Knee,London is out with knee,Dec 10
Atlanta Falcons,Michael Penix,QB,Out,Knee,Penix is out with knee,Nov 18
Baltimore Ravens,Justice Hill,RB,Out,Neck,Hill is out with neck,Nov 29
Baltimore Ravens,Keaton Mitchell,RB,Questionable,Knee,Mitchell is questionable with knee,Dec 10
Buffalo Bills,Curtis Samuel,WR,Out,Elbow,Samuel is out with elbow,Nov 19
Buffalo Bills,Mecole Hardman,WR,Out,Calf,Hardman is out with calf,Nov 19
Buffalo Bills,Tyler Bass,K,Out,Did Not Participate In Practice,Bass is out with hip,Sep 5
Buffalo Bills,Joshua Palmer,WR,Out,Ankle,Palmer is out with ankle,Dec 5
Carolina Panthers,David Moore,WR,Out,Elbow,Moore is out with elbow,Oct 2
Carolina Panthers,Jaycee Horn,CB,Out,Concussion,Horn is out with concussion,Nov 29
Carolina Panthers,Damarri Mathis,CB,Out,Did Not Participate In Practice,Mathis is out with knee,Sep 5
Chicago Bears,Rome Odunze,WR,Out,Foot,Odunze is out with foot,Dec 5
Cincinnati Bengals,Tee Higgins,WR,Out,Concussion,Higgins is out with concussion,Dec 9
Cleveland Browns,DeAndre Carter,WR,Out,Knee,Carter is out with knee,Sep 30
Cleveland Browns,David Njoku,TE,Questionable,Knee,Njoku is questionable with knee,Dec 9
Cleveland Browns,Jerome Ford,RB,Out,Shoulder,Ford is out with shoulder,Dec 9
Cleveland Browns,Malachi Corley,WR,Out,Concussion,Corley is out with concussion,Dec 9
Cleveland Browns,Brenden Bates,TE,Out,Ankle,Bates is out with ankle,Nov 29
Dallas Cowboys,Miles Sanders,RB,Out,Ankle,Sanders is out with ankle,Oct 5
Dallas Cowboys,CeeDee Lamb,WR,Questionable,Concussion,Lamb is questionable with concussion,Dec 9
Denver Broncos,J.K. Dobbins,RB,Out,Foot,Dobbins is out with foot,Nov 12
Denver Broncos,Nate Adkins,TE,Out,Knee,Adkins is out with knee,Dec 5
Detroit Lions,Kalif Raymond,WR,Questionable,Ankle,Raymond is questionable with ankle,Dec 9
Detroit Lions,Jamarco Jones,T,Out,Did Not Participate In Practice,Jones is out with ankle,Sep 5
Detroit Lions,Brock Wright,TE,Out,Neck,Wright is out with neck,Dec 3
Detroit Lions,Shane Zylstra,TE,Out,Ankle,Zylstra is out with ankle,Sep 19
Detroit Lions,Sam LaPorta,TE,Out,Back,LaPorta is out with back,Nov 14
Green Bay Packers,Tucker Kraft,TE,Out,Knee,Kraft is out with knee,Nov 4
Green Bay Packers,MarShawn Lloyd,RB,Out,Hamstring,Lloyd is out with hamstring,Sep 2
Houston Texans,Nick Chubb,RB,Questionable,Ribs,Chubb is questionable with ribs,Dec 9
Houston Texans,Joe Mixon,RB,Out,Knee,Mixon is out with knee,Sep 2
Houston Texans,Harrison Bryant,TE,Out,Neck,Bryant is out with neck,Nov 14
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 2
Indianapolis Colts,Ashton Dulin,WR,Out,Hamstring,Dulin is out with hamstring,Dec 2
Indianapolis Colts,Daniel Jones,QB,Out,Achilles,Jones is out with achilles,Dec 9
Indianapolis Colts,Riley Leonard,QB,Questionable,Knee,Leonard is questionable with knee,Dec 10
Jacksonville Jaguars,Parker Washington,WR,Questionable,Hip,Washington is questionable with hip,Dec 9
Jacksonville Jaguars,Travis Hunter,WR,Out,Knee,Hunter is out with knee,Oct 31
Las Vegas Raiders,Geno Smith,QB,Out,Shoulder,Smith is out with shoulder,Dec 10
Las Vegas Raiders,Ian Thomas,TE,Out,Calf,Thomas is out with calf,Dec 9
Las Vegas Raiders,Michael Mayer,TE,Questionable,Ankle,Mayer is questionable with ankle,Dec 9
Las Vegas Raiders,Dont'e Thornton,WR,Questionable,Concussion,Thornton is questionable with concussion,Dec 9
Los Angeles Chargers,Najee Harris,RB,Out,Achilles,Harris is out with achilles,Sep 23
Los Angeles Rams,Tyler Higbee,TE,Out,Ankle,Higbee is out with ankle,Nov 19
Miami Dolphins,Tyreek Hill,WR,Out,Knee,Hill is out with knee,Sep 30
Minnesota Vikings,Rondale Moore,WR,Out,Knee,Moore is out with knee,Sep 2
New England Patriots,Antonio Gibson,RB,Out,Knee,Gibson is out with knee,Oct 7
New England Patriots,Charles Woods,CB,Questionable,Full Participation In Practice,Woods is questionable with concussion,Sep 5
New Orleans Saints,Alvin Kamara,RB,Out,Knee,Kamara is out with knee,Nov 25
New Orleans Saints,Kendre Miller,RB,Out,Knee,Miller is out with knee,Oct 21
New York Giants,Malik Nabers,WR,Out,Knee,Nabers is out with knee,Sep 30
New York Giants,Cam Skattebo,RB,Out,Ankle,Skattebo is out with ankle,Oct 28
New York Jets,Tyrod Taylor,QB,Out,Groin,Taylor is out with groin,Dec 9
New York Jets,Josh Reynolds,WR,Out,Hip,Reynolds is out with hip,Oct 25
New York Jets,Alijah Vera-Tucker,G,Out,Did Not Participate In Practice,Vera-Tucker is out with triceps,Sep 5
New York Jets,Garrett Wilson,WR,Out,Knee,Wilson is out with knee,Nov 11
New York Jets,Braelon Allen,RB,Out,Knee,Allen is out with knee,Sep 30
Pittsburgh Steelers,Darnell Washington,TE,Out,Concussion,Washington is out with concussion,Dec 9
San Francisco 49ers,Brandon Aiyuk,WR,Out,Knee,Aiyuk is out with knee,Sep 2
San Francisco 49ers,Jacob Cowing,WR,Out,Hamstring,Cowing is out with hamstring,Sep 2
Seattle Seahawks,Dareke Young,WR,Out,Quad,Young is out with quad,Nov 7
Seattle Seahawks,George Holani,RB,Out,Hamstring,Holani is out with hamstring,Nov 25
Seattle Seahawks,Elijah Arroyo,TE,Out,Knee,Arroyo is out with knee,Dec 9
Seattle Seahawks,Tory Horton,WR,Out,Groin,Horton is out with groin,Nov 21
Tampa Bay Buccaneers,Cade Otton,TE,Out,Knee,Otton is out with knee,Dec 10
Tampa Bay Buccaneers,Ko Kieft,TE,Out,Leg,Kieft is out with leg,Sep 23
Tampa Bay Buccaneers,Jalen McMillan,WR,Questionable,Neck,McMillan is questionable with neck,Dec 10
Tampa Bay Buccaneers,Benjamin Morrison,CB,Out,Limited Participation In Practice,Morrison is out with quad,Sep 5
Tennessee Titans,Calvin Ridley,WR,Out,Leg,Ridley is out with leg,Nov 18
Tennessee Titans,Bryce Oliver,WR,Out,Knee,Oliver is out with knee,Nov 14
Washington Commanders,Zach Ertz,TE,Out,Knee,Ertz is out with knee,Dec 9
Washington Commanders,Austin Ekeler,RB,Out,Achilles,Ekeler is out with achilles,Sep 16
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Dec 10
Washington Commanders,Luke McCaffrey,WR,Out,Collarbone,McCaffrey is out with collarbone,Nov 4
