matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
Denver Broncos @ Atlanta Falcons,REG,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,👀 LEAN: Denver Broncos -4.5 (proceed with caution),spread,AWAY,3,,,,,3.0,-2.0,,sharp spread edge,spread,AWAY,spread candidate cleared threshold and ranked highest,AWAY,3,True,,sharp:AWAY:3,,OVER,4,False,,,ref_weather_context:UNDER:-2,13.4,AWAY,3,OVER,0,3,0,3,-2,0,rotowire: missing file path,
Green Bay Packers @ Pittsburgh Steelers,REG,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,👀 LEAN: Pittsburgh Steelers +1.5 (proceed with caution),spread,HOME,3,,,,,3.0,-2.0,,sharp spread edge,spread,HOME,spread candidate cleared threshold and ranked highest,HOME,3,True,,sharp:HOME:3,,UNDER,4,False,,,ref_weather_context:OVER:-2,11.3,HOME,-3,UNDER,0,3,0,0,2,0,rotowire: missing file path,
Los Angeles Rams @ Kansas City Chiefs,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,-2.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,OVER,4,False,,,ref_weather_context:UNDER:-2,7.3,NEUTRAL,0,OVER,0,3,0,0,-2,1,rotowire: missing file path,
Jacksonville Jaguars @ New Orleans Saints,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,-2.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,OVER,4,False,,,ref_weather_context:UNDER:-2,6.8,NEUTRAL,0,OVER,0,3,0,0,-2,0,rotowire: missing file path,
Cleveland Browns @ Chicago Bears,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,1.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,,sharp:AWAY:1,,UNDER,4,False,,,,5.4,AWAY,1,UNDER,0,1,0,3,0,0,rotowire: missing file path,
Philadelphia Eagles @ Baltimore Ravens,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.5,HOME,-3,OVER,0,0,0,0,0,0,rotowire: missing file path,
Detroit Lions @ Cincinnati Bengals,REG,⚠️ PASS,🚨 TRAP GAME,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,0.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,,sharp:HOME:3,,UNDER,4,False,,,,2.7,HOME,-3,UNDER,0,-1,0,0,0,0,rotowire: missing file path,
Minnesota Vikings @ New York Giants,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.7,HOME,-3,OVER,0,-1,0,0,0,0,rotowire: missing file path,
Indianapolis Colts @ New England Patriots,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,1.9,AWAY,3,UNDER,-2,-3,0,-2,-2,0,rotowire: missing file path,
Miami Dolphins @ Washington Commanders,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,1.2,AWAY,2,UNDER,0,-1,0,0,0,0,rotowire: missing file path,
