matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Los Angeles Rams @ Kansas City Chiefs,PRE,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,12.8,12.8,none,,,spread HOME 0/4 | total UNDER 2/4 | final none ,0,0,50.0,38.2,0,5.0,EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Los Angeles Rams (5.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Denver Broncos @ Atlanta Falcons,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,8.9,8.9,none,,,spread NEUTRAL 0/4 | total UNDER 2/4 | final none ,0,0,65.4,34.6,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Denver Broncos (5.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Jacksonville Jaguars @ New Orleans Saints,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,8.6,8.6,none,,,spread HOME 0/5 | total UNDER 2/4 | final none ,0,0,40.5,39.5,0,1.5,NO EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Jacksonville Jaguars (4.6 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Arizona Cardinals @ Las Vegas Raiders,PRE,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,8.0,8.0,none,,,spread AWAY 0/4 | total NEUTRAL 0/4 | final none ,0,0,27.9,52.2,0,-7.0,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Las Vegas Raiders (2.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Green Bay Packers @ Pittsburgh Steelers,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,6.8,6.8,none,,,spread NEUTRAL 0/4 | total OVER 2/4 | final none ,0,0,44.7,61.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Green Bay Packers (5.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Cleveland Browns @ Chicago Bears,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.9,3.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,63.5,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to Cleveland Browns (1.1 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Tampa Bay Buccaneers @ New York Jets,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.4,2.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,52.1,54.0,0,3.5,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Jets (2.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Detroit Lions @ Cincinnati Bengals,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,42.6,40.7,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Cincinnati Bengals (2.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Miami Dolphins @ Washington Commanders,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,48.8,57.8,0,3.0,EDGE,0,Found 4 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Washington Commanders (2.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Minnesota Vikings @ New York Giants,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,52.3,51.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Giants (2.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
