matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Baltimore Ravens @ Pittsburgh Steelers,📊 LEAN,5.8,5.8,0,3.0,57.6,55.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Strong statistical edge to Baltimore Ravens (3.4 pts),1,Extreme public sentiment (0% on one side),1,Minor rest edge (1 days)
Seattle Seahawks @ San Francisco 49ers,⚠️ LANDMINE,4.8,4.8,0,-5.0,29.5,52.2,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,3,Strong statistical edge to Seattle Seahawks (5.0 pts),1,Extreme public sentiment (0% on one side),1,Minor rest edge (1 days)
Green Bay Packers @ Minnesota Vikings,⚠️ LANDMINE,3.4,3.4,0,4.0,52.1,55.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Statistical edge to Green Bay Packers (1.6 pts),1,Extreme public sentiment (0% on one side),2,HOME rest advantage (+4 days)
Detroit Lions @ Chicago Bears,⚠️ LANDMINE,1.6,1.6,0,7.0,45.2,63.6,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Statistical edge to Detroit Lions (1.1 pts),1,Extreme public sentiment (0% on one side),-2,AWAY rest advantage (+3 days)
Dallas Cowboys @ New York Giants,⚠️ LANDMINE,-1.3,1.3,0,1.0,66.7,46.7,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-1,Statistical edge to New York Giants (2.0 pts),1,Extreme public sentiment (0% on one side),-2,AWAY rest advantage (+4 days)
Washington Commanders @ Philadelphia Eagles,❌ FADE,-13.0,13.0,0,0.0,48.9,54.2,0,-6.5,EDGE,0,Found 2 high-impact injuries,-1,Late season - motivation concerns,-2,Strong statistical edge to Philadelphia Eagles (3.3 pts),1,Extreme public sentiment (0% on one side),-2,AWAY rest advantage (+3 days)
Arizona Cardinals @ Los Angeles Rams,❌ FADE,-12.4,12.4,0,12.0,55.3,47.8,0,-7.0,EDGE,0,Found 2 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Los Angeles Rams (5.0 pts),1,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Miami Dolphins @ New England Patriots,❌ FADE,-11.0,11.0,0,0.0,38.9,40.5,0,-3.5,EDGE,0,Found 2 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to New England Patriots (5.0 pts),1,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
New York Jets @ Buffalo Bills,❌ FADE,-8.2,8.2,0,3.0,56.1,46.6,0,-3.5,EDGE,0,Found 2 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Buffalo Bills (5.0 pts),1,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Kansas City Chiefs @ Las Vegas Raiders,❌ FADE,-7.3,7.3,0,0.0,61.1,55.6,0,-5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,-1,Statistical edge to Las Vegas Raiders (2.0 pts),1,Extreme public sentiment (0% on one side),-2,AWAY rest advantage (+4 days)
Tennessee Titans @ Jacksonville Jaguars,❌ FADE,-6.8,6.8,0,7.0,39.2,51.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Jacksonville Jaguars (5.0 pts),1,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
New Orleans Saints @ Atlanta Falcons,❌ FADE,-5.8,5.8,0,-5.0,48.5,36.4,0,-1.5,NO EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,-1,Statistical edge to Atlanta Falcons (2.0 pts),1,Extreme public sentiment (0% on one side),-1,Minor rest edge (1 days)
Indianapolis Colts @ Houston Texans,❌ FADE,-5.2,5.2,0,-16.0,43.2,36.8,0,2.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Houston Texans (5.0 pts),1,Extreme public sentiment (0% on one side),-1,Minor rest edge (1 days)
Carolina Panthers @ Tampa Bay Buccaneers,❌ FADE,-4.6,4.6,0,-8.0,52.2,55.3,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Tampa Bay Buccaneers (5.0 pts),1,Extreme public sentiment (0% on one side),1,Minor rest edge (1 days)
Los Angeles Chargers @ Denver Broncos,❌ FADE,-3.8,3.8,0,-2.0,51.2,48.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Denver Broncos (5.0 pts),1,Extreme public sentiment (0% on one side),2,HOME rest advantage (+4 days)
Cleveland Browns @ Cincinnati Bengals,❌ FADE,-2.6,2.6,0,7.0,40.7,59.3,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-1,Statistical edge to Cincinnati Bengals (2.0 pts),1,Extreme public sentiment (0% on one side),-1,Minor rest edge (1 days)
