matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
New York Jets @ Buffalo Bills,🎯 TARGETED PLAY,9.1,9.1,18.0,2.0,56.1,46.6,0,-2.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.0 points),3,"Market inefficiency detected (+18.0% sharp edge), Extreme public sentiment (13% on one side)",0,Neutral schedule situation (standard rest)
Baltimore Ravens @ Pittsburgh Steelers,⚠️ LANDMINE,4.8,4.8,0.0,-2.0,57.6,55.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.5 points),0,Standard market dynamics,1,Minor rest edge (1 days)
Arizona Cardinals @ Los Angeles Rams,⚠️ LANDMINE,4.0,4.0,11.0,4.0,55.3,47.8,0,-5.0,EDGE,0,Found 3 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.5 points),3,"Market inefficiency detected (+11.0% sharp edge), Extreme public sentiment (17% on one side)",0,Neutral schedule situation (standard rest)
Cleveland Browns @ Cincinnati Bengals,⚠️ LANDMINE,2.7,2.7,-6.0,-2.0,42.3,61.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.5 points),1,Market mispricing possible (-6.0% edge),-1,Minor rest edge (1 days)
Washington Commanders @ Philadelphia Eagles,⚠️ LANDMINE,2.3,2.3,9.0,3.0,48.9,54.2,0,2.0,EDGE,0,Found 5 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,1,Market mispricing possible (+9.0% edge),-2,AWAY rest advantage (+3 days)
Seattle Seahawks @ San Francisco 49ers,⚠️ LANDMINE,2.0,2.0,2.0,-2.0,29.5,52.2,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+4.5 points),0,Standard market dynamics,1,Minor rest edge (1 days)
Green Bay Packers @ Minnesota Vikings,⚠️ LANDMINE,-1.8,1.8,-11.0,0.0,52.1,55.1,0,-5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.5 points),3,"Market inefficiency detected (-11.0% sharp edge), High contrarian value (fade the public)",2,HOME rest advantage (+4 days)
Kansas City Chiefs @ Las Vegas Raiders,⚠️ LANDMINE,1.5,1.5,15.0,3.0,52.6,52.6,0,-5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+8.5 points),2,Market inefficiency detected (+15.0% sharp edge),-2,AWAY rest advantage (+4 days)
Detroit Lions @ Chicago Bears,⚠️ LANDMINE,-1.2,1.2,-3.0,2.0,45.2,63.6,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
Indianapolis Colts @ Houston Texans,⚠️ LANDMINE,-1.1,1.1,-5.0,4.0,42.1,38.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-2,"Double-digit spread (10.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (7.5 points),1,Market mispricing possible (-5.0% edge),-1,Minor rest edge (1 days)
Miami Dolphins @ New England Patriots,⚠️ LANDMINE,-0.7,0.7,-9.0,5.0,38.9,40.5,0,-2.0,EDGE,0,Found 1 high-impact injuries,-2,"Double-digit spread (10.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (7.5 points),3,"Market mispricing possible (-9.0% edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
Carolina Panthers @ Tampa Bay Buccaneers,⚠️ LANDMINE,-0.2,0.2,3.0,-4.0,52.2,55.3,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,0,Standard market dynamics,1,Minor rest edge (1 days)
Tennessee Titans @ Jacksonville Jaguars,⚠️ LANDMINE,0.2,0.2,-1.0,2.0,39.2,51.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-2,"Double-digit spread (12.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (9.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Dallas Cowboys @ New York Giants,⚠️ LANDMINE,0.0,0.0,-13.0,-5.0,55.0,23.8,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.5 points),2,Market inefficiency detected (-13.0% sharp edge),-2,AWAY rest advantage (+4 days)
New Orleans Saints @ Atlanta Falcons,❌ FADE,-5.0,5.0,0.0,1.0,48.5,36.4,0,-1.5,NO EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,0,Standard market dynamics,-1,Minor rest edge (1 days)
Los Angeles Chargers @ Denver Broncos,❌ FADE,-2.3,2.3,-5.0,4.0,51.2,48.9,0,-5.0,EDGE,0,Found 1 high-impact injuries,-2,"Double-digit spread (12.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (9.5 points),2,"Market mispricing possible (-5.0% edge), High contrarian value (fade the public)",2,HOME rest advantage (+4 days)
