matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Seahawks at Titans,🔵 BLUE CHIP,9,9,5.0,12.0,62.5,34.8,0,0,NO EDGE,0,No significant injury impacts identified,-1,Double-digit spread (13.5) - blowout risk,2,Statistical value on home team (+16.5 points),3,"Market mispricing possible (+5.0% edge), Potential steam move developing",0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Patriots at Bengals,🎯 TARGETED PLAY,5,7,3.0,18.0,38.9,54.1,0,0,NO EDGE,0,No significant injury impacts identified,1,Public overexposed on Patriots,2,Statistical value on home team (+20.5 points),2,"High contrarian value (fade the public), Popular team getting overbet",0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Vikings at Packers,🎯 TARGETED PLAY,5,7,-4.0,5.0,42.3,61.5,0,0,NO EDGE,0,No significant injury impacts identified,1,Divisional matchup (familiarity factor),2,Statistical value on away team (3.5 points),0,Standard market dynamics,0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Bills at Texans,📊 LEAN,6,5,9.0,-5.0,51.6,36.4,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,1,Modest statistical edge (1.5 points),5,"Market mispricing possible (+9.0% edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Giants at Lions,📊 LEAN,4,5,-7.0,8.0,47.8,47.8,0,0,NO EDGE,0,No significant injury impacts identified,-1,Double-digit spread (11.0) - blowout risk,2,Statistical value on away team (8.0 points),3,"Market mispricing possible (-7.0% edge), Potential steam move developing",0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Colts at Chiefs,📊 LEAN,5,5,13.0,-12.0,40.9,66.7,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,2,Statistical value on home team (+9.5 points),4,"Market inefficiency detected (+13.0% sharp edge), Potential steam move developing",0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Jaguars at Cardinals,📊 LEAN,3,5,-10.0,1.0,48.0,40.7,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,2,Statistical value on away team (4.5 points),2,Market inefficiency detected (-10.0% sharp edge),0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Eagles at Cowboys,📊 LEAN,5,5,-8.0,-4.0,58.3,54.5,0,0,NO EDGE,0,No significant injury impacts identified,1,Divisional matchup (familiarity factor),2,Statistical value on home team (+6.0 points),1,Market mispricing possible (-8.0% edge),0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Steelers at Bears,⚠️ LANDMINE,2,3,-6.0,-7.0,51.1,54.2,0,0,NO EDGE,0,No significant injury impacts identified,1,Public overexposed on Steelers,0,No statistical edge detected,1,Market mispricing possible (-6.0% edge),0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Browns at Raiders,⚠️ LANDMINE,1,3,-16.0,-21.0,45.3,47.2,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,0,No statistical edge detected,4,"Market inefficiency detected (-16.0% sharp edge), Extreme public sentiment (82% on one side), High contrarian value (fade the public)",0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Falcons at Saints,⚠️ LANDMINE,1,3,-9.0,1.0,51.7,55.2,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,1,Modest statistical edge (1.5 points),1,Market mispricing possible (-9.0% edge),0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Buccaneers at Rams,⚠️ LANDMINE,1,3,1.0,-1.0,29.8,54.2,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,2,Statistical value on away team (3.5 points),0,Standard market dynamics,0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Panthers at 49ers,⚠️ LANDMINE,1,3,2.0,-8.0,53.6,53.6,0,0,NO EDGE,0,No significant injury impacts identified,0,No significant situational factors,2,Statistical value on home team (+16.0 points),0,Standard market dynamics,0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
Jets at Ravens,❌ FADE,-4,2,-4.0,-7.0,40.0,41.8,0,0,NO EDGE,0,No significant injury impacts identified,-1,Double-digit spread (13.5) - blowout risk,0,No statistical edge detected,0,Standard market dynamics,0,Schedule analysis failed: name 'calculate_schedule_score' is not defined
