season,team,wins,games,pyth_wins_same_year,warps_wins,pure_quality_pts,schedule_context_pts,projection_quality_pts,pyth_forecast_prior,prior_games,prior_wins_forecast,warps_error,pyth_error,prior_wins_error
2015,ARI,13.0,16,11.875086359907796,7.771938117186738,0.3189605445827708,-0.0,0.3189605445827708,8.342291199865166,16.0,11.0,-5.228061882813262,-4.657708800134834,-2.0
2015,ATL,8.0,16,7.833703902895316,8.098092084095457,-0.7734116515700769,0.0,-0.7734116515700769,7.147331666570217,16.0,6.0,0.09809208409545711,-0.8526683334297829,-2.0
2015,BAL,5.0,16,6.130222247000818,9.663350200101283,2.5267854811002914,-0.0,2.5267854811002914,10.757458360865273,16.0,10.0,4.6633502001012825,5.757458360865273,5.0
2015,BUF,8.0,16,8.513241090766838,9.035507824360568,1.4705371102943046,0.0,1.4705371102943046,9.602015129458398,16.0,9.0,1.0355078243605682,1.6020151294583975,1.0
2015,CAR,15.0,16,12.147159557447475,7.721166985966104,-0.8416155876942208,0.0,-0.8416155876942208,7.072722532461149,16.0,7.5,-7.278833014033896,-7.927277467538851,-7.5
2015,CHI,6.0,16,6.411621363050197,6.038925370761675,-2.687370216832698,-0.0,-2.687370216832698,5.053628584464241,16.0,5.0,0.03892537076167457,-0.9463714155357588,-1.0
2015,CIN,12.0,16,11.582054666145126,7.831907212163738,0.5187309930440144,-0.0,0.5187309930440144,8.560822578364265,16.0,10.5,-4.168092787836262,-3.439177421635735,-1.5
2015,CLE,3.0,16,4.163885964810501,7.066926422854074,-1.0238654754654062,-0.0,-1.0238654754654062,6.8733571132376445,16.0,7.0,4.066926422854074,3.8733571132376445,4.0
2015,DAL,4.0,16,5.207545017477707,9.641880817060322,2.3682465751310753,0.0,2.3682465751310753,10.584030679573797,16.0,12.0,5.641880817060322,6.584030679573797,8.0
2015,DEN,12.0,16,9.696909868568786,9.551669448054485,2.5676203111516047,-0.0,2.5676203111516047,10.802128089399327,16.0,12.0,-2.4483305519455154,-1.1978719106006732,0.0
2015,DET,7.0,16,6.9543846664118165,8.612171049311298,1.11988135938318,-0.0,1.11988135938318,9.218428441760135,16.0,11.0,1.6121710493112982,2.2184284417601354,4.0
2015,GB,10.0,16,9.226729354768107,9.878369625967553,2.7583574156499737,-0.0,2.7583574156499737,11.010777780572452,16.0,12.0,-0.12163037403244736,1.010777780572452,2.0
2015,HOU,9.0,16,8.754228141083253,9.632841048535251,1.6422053192209538,0.0,1.6422053192209538,9.789805118569275,16.0,9.0,0.6328410485352514,0.7898051185692747,0.0
2015,IND,8.0,16,6.110724661631026,9.707593863752495,1.8386952140314639,0.0,1.8386952140314639,10.004747858623313,16.0,11.0,1.7075938637524946,2.004747858623313,3.0
2015,JAX,5.0,16,6.362525546966006,5.485808879773161,-3.9044541019656425,0.0,-3.9044541019656425,3.7222453833160434,16.0,3.0,0.48580887977316056,-1.2777546166839566,-2.0
2015,KC,11.0,16,11.095000116749878,9.134796432385908,1.9361351554281288,-0.0,1.9361351554281288,10.111338622564135,16.0,9.0,-1.865203567614092,-0.8886613774358647,-2.0
2015,LAC,4.0,16,5.976974500810307,7.954168206836425,0.006055061759016239,-0.0,0.006055061759016239,8.0,16.0,9.0,3.9541682068364246,4.0,5.0
2015,LV,7.0,16,7.0037405749902515,4.855807240296835,-4.356035650312699,-0.0,-4.356035650312699,3.2282547103953427,16.0,3.0,-2.1441927597031647,-3.7717452896046573,-4.0
2015,MIA,6.0,16,5.89842234411531,8.154502650309878,0.3474859359805603,-0.0,0.3474859359805603,8.373495480340086,16.0,8.0,2.154502650309878,2.373495480340086,2.0
2015,MIN,11.0,16,9.766593249041868,7.4947559729542945,-0.46046124520339704,-0.0,-0.46046124520339704,7.489672008857789,16.0,7.0,-3.5052440270457055,-3.510327991142211,-4.0
2015,NE,12.0,16,11.450550260402387,10.20071388543457,3.25007434735869,0.0,3.25007434735869,11.548673048593038,16.0,12.0,-1.7992861145654295,-0.451326951406962,0.0
