matchup_key,season,season_type,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_sharp_moneyline_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_pre_tnf,pre_tnf_classification,pre_tnf_classification_label,pre_tnf_recommendation,pre_tnf_tier_score,pre_tnf_total_score,pre_tnf_confidence,pre_tnf_model_version,pre_tnf_signal_classification,pre_tnf_pick_market,pre_tnf_pick_side,pre_tnf_selector_score,pre_tnf_pick_reasons,pre_tnf_recommendation_trace,pre_tnf_data_quality_status,pre_tnf_unsafe_sources,pre_tnf_degraded_sources,pre_tnf_sharp_spread_line,pre_tnf_sharp_total_line,pre_tnf_sharp_moneyline_line,pre_tnf_source_health_status,pre_tnf_source_health_warnings,pre_tnf_source_health_degraded_sources,pre_tnf_source_health_unsafe_sources,pre_tnf_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_sharp_moneyline_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_sharp_moneyline_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_pre_mnf,pre_mnf_classification,pre_mnf_classification_label,pre_mnf_recommendation,pre_mnf_tier_score,pre_mnf_total_score,pre_mnf_confidence,pre_mnf_model_version,pre_mnf_signal_classification,pre_mnf_pick_market,pre_mnf_pick_side,pre_mnf_selector_score,pre_mnf_pick_reasons,pre_mnf_recommendation_trace,pre_mnf_data_quality_status,pre_mnf_unsafe_sources,pre_mnf_degraded_sources,pre_mnf_sharp_spread_line,pre_mnf_sharp_total_line,pre_mnf_sharp_moneyline_line,pre_mnf_source_health_status,pre_mnf_source_health_warnings,pre_mnf_source_health_degraded_sources,pre_mnf_source_health_unsafe_sources,pre_mnf_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_sharp_moneyline_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
ARI@SF,2026,REG,3,Arizona Cardinals,San Francisco 49ers,ARI,SF,Arizona Cardinals @ San Francisco 49ers,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.1,5.1,2026.1,📊 LEAN,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge aligns""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""HOME"", ""signals"": [{""impact"": 1, ""score"": -1, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""aligned""}], ""threshold"": 4.5, ""threshold_adjustments"": [{""delta"": 0.5, ""reason"": ""market ML implies 78% win prob for pick side: overconfidence zone""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""UNDER"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+8.5 (-102) | -8.5 (+102),o47.5 (-106) | u47.5 (+106),+365 | -365,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
ATL@GB,2026,REG,3,Atlanta Falcons,Green Bay Packers,ATL,GB,Atlanta Falcons @ Green Bay Packers,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.6,6.6,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 2, ""score"": 2, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""OVER"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+5.5 (-102) | -4.5 (-104),o43.5 (+108) | u42.5 (+106),+257 | -228,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
BAL@DAL,2026,REG,3,Baltimore Ravens,Dallas Cowboys,BAL,DAL,Baltimore Ravens @ Dallas Cowboys,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,8.1,8.1,2026.1,🎯 TARGETED PLAY,none,,1,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 3, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 1, ""side"": ""OVER"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3.5 (+106) | +3.5 (-106),o52.5 (+100) | u52.5 (+104),-150 | +167,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
CAR@CLE,2026,REG,3,Carolina Panthers,Cleveland Browns,CAR,CLE,Carolina Panthers @ Cleveland Browns,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.6,3.6,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-111) | +2.5 (+111),o42.5 (+106) | u42.5 (-106),-138 | +141,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
CIN@PIT,2026,REG,3,Cincinnati Bengals,Pittsburgh Steelers,CIN,PIT,Cincinnati Bengals @ Pittsburgh Steelers,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Cincinnati Bengals -3.5,7,6.6,6.6,2026.1,📊 LEAN,spread,AWAY,4,sharp spread edge; team-rating edge aligns,"{""final_decision"": {""market"": ""spread"", ""reason"": ""spread candidate cleared threshold and ranked highest"", ""score"": 4, ""side"": ""AWAY""}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": true, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge aligns""], ""requires_sharp_edge"": true, ""score"": 4, ""side"": ""AWAY"", ""signals"": [{""impact"": 2, ""score"": 2, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}, {""impact"": 2, ""score"": 2, ""side"": ""AWAY"", ""source"": ""team_rating"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 1, ""side"": ""UNDER"", ""signals"": [{""impact"": 1, ""score"": -1, ""side"": ""UNDER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3.5 (+106) | +3.5 (-105),o42.5 (+102) | u42.5 (+104),-163 | +167,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
HOU@IND,2026,REG,3,Houston Texans,Indianapolis Colts,HOU,IND,Houston Texans @ Indianapolis Colts,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.3,5.3,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [{""impact"": 0, ""score"": -1.4, ""side"": ""AWAY"", ""source"": ""injury"", ""status"": ""conflict""}], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [""team-rating edge aligns"", ""injury context conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [{""impact"": 2, ""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""aligned""}], ""threshold"": 5, ""threshold_adjustments"": [{""delta"": 1, ""reason"": ""injury context present""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""UNDER"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-106) | +2.5 (+106),o42.5 (-106) | u42.5 (+108),-127 | +135,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
KC@MIA,2026,REG,3,Kansas City Chiefs,Miami Dolphins,KC,MIA,Kansas City Chiefs @ Miami Dolphins,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,4.1,4.1,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-10.5 (-106) | +10.5 (+108),o46.5 (+106) | u46.5 (-106),-567 | +590,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
LAC@BUF,2026,REG,3,Los Angeles Chargers,Buffalo Bills,LAC,BUF,Los Angeles Chargers @ Buffalo Bills,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.7,6.7,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""team-rating conflict""], ""cleared_threshold"": false, ""conflicts"": [{""score"": 2, ""side"": ""HOME"", ""source"": ""team_rating"", ""status"": ""conflict""}], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge"", ""team-rating edge conflicts""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": true, ""blockers"": [""no sharp total side""], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+7.5 (-111) | -7.5 (+111),o50.5 (+106) | u50.5 (-106),+308 | -300,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
LAR@DEN,2026,REG,3,Los Angeles Rams,Denver Broncos,LAR,DEN,Los Angeles Rams @ Denver Broncos,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,4.8,4.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-102) | +2.5 (+104),o44.5 (+102) | u45.5 (-112),-127 | +130,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
LV@NO,2026,REG,3,Las Vegas Raiders,New Orleans Saints,LV,NO,Las Vegas Raiders @ New Orleans Saints,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.6,3.6,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+3 (+102) | -3.5 (+115),o43.5 (+100) | u43.5 (+102),+160 | -160,DEGRADED,rotowire: missing file path,rotowire,,2026-09-24T16:57:52.961044+00:00,0,0,0,0
