matchup_key,season,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,away_score,home_score,final_margin,final_total
ARI@CIN,2025,17,Arizona Cardinals,Cincinnati Bengals,ARI,CIN,Arizona Cardinals @ Cincinnati Bengals,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.8,4.8,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.8,4.8,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.8,4.8,0,0,0,0
BAL@GB,2025,17,Baltimore Ravens,Green Bay Packers,BAL,GB,Baltimore Ravens @ Green Bay Packers,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Green Bay Packers -3,7,5.9,5.9,False,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Baltimore Ravens +2.5,7,6.9,6.9,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Green Bay Packers -3,7,5.9,5.9,41,24,17,65
CHI@SF,2025,17,Chicago Bears,San Francisco 49ers,CHI,SF,Chicago Bears @ San Francisco 49ers,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-2.3,2.3,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,0,0,0,0
DAL@WSH,2025,17,Dallas Cowboys,Washington Commanders,DAL,WSH,Dallas Cowboys @ Washington Commanders,True,🔵 BLUE CHIP,STRONG PLAY,✅ STRONG PLAY: Dallas Cowboys -7,9,17.4,17.4,False,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: OVER 50,7,15.9,15.9,True,🔵 BLUE CHIP,STRONG PLAY,✅ STRONG PLAY: Dallas Cowboys -7,9,17.4,17.4,30,23,7,53
DEN@KC,2025,17,Denver Broncos,Kansas City Chiefs,DEN,KC,Denver Broncos @ Kansas City Chiefs,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Denver Broncos -13,7,10.0,10.0,False,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: OVER 37.5,7,10.0,10.0,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Denver Broncos -13,7,10.0,10.0,20,13,7,33
DET@MIN,2025,17,Detroit Lions,Minnesota Vikings,DET,MIN,Detroit Lions @ Minnesota Vikings,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Detroit Lions -7.5,7,9.1,9.1,False,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.6,1.6,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Detroit Lions -7.5,7,9.1,9.1,10,23,-13,33
HOU@LAC,2025,17,Houston Texans,Los Angeles Chargers,HOU,LAC,Houston Texans @ Los Angeles Chargers,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.8,0.8,False,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: Houston Texans +1.5,7,7.8,7.8,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.8,0.8,20,16,4,36
JAX@IND,2025,17,Jacksonville Jaguars,Indianapolis Colts,JAX,IND,Jacksonville Jaguars @ Indianapolis Colts,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.9,2.9,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.1,1.1,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.9,2.9,0,0,0,0
LAR@ATL,2025,17,Los Angeles Rams,Atlanta Falcons,LAR,ATL,Los Angeles Rams @ Atlanta Falcons,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.6,0.6,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.4,1.4,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.6,0.6,0,0,0,0
NE@NYJ,2025,17,New England Patriots,New York Jets,NE,NYJ,New England Patriots @ New York Jets,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: New York Jets +13.5 (proceed with caution),5,3.5,3.5,True,🎯 TARGETED PLAY,SOLID EDGE,🎯 TARGETED PLAY: New York Jets +13.5,7,5.0,5.0,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: New York Jets +13.5 (proceed with caution),5,3.5,3.5,0,0,0,0
NO@TEN,2025,17,New Orleans Saints,Tennessee Titans,NO,TEN,New Orleans Saints @ Tennessee Titans,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: New Orleans Saints -2.5 (proceed with caution),5,3.3,3.3,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.3,0.3,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: New Orleans Saints -2.5 (proceed with caution),5,3.3,3.3,0,0,0,0
NYG@LV,2025,17,New York Giants,Las Vegas Raiders,NYG,LV,New York Giants @ Las Vegas Raiders,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.1,1.1,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.2,1.2,True,⚠️ LANDMINE,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.1,1.1,0,0,0,0
