matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
Buffalo Bills @ Cleveland Browns,PRE,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,sharp spread edge required,,,OVER,4,False,,sharp:OVER:2,,7.3,HOME,0,OVER,2,3,0,-2,0,1,rotowire: missing file path,
Seattle Seahawks @ Tennessee Titans,PRE,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,3.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,sharp spread edge required,,,OVER,4,False,,sharp:OVER:3,,5.4,HOME,0,OVER,3,3,0,0,0,0,rotowire: missing file path,
New York Jets @ Pittsburgh Steelers,PRE,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,1.0,0.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,,sharp:HOME:1,,UNDER,4,False,,,,5.1,HOME,-1,UNDER,0,2,0,0,0,0,rotowire: missing file path,
Baltimore Ravens @ Minnesota Vikings,PRE,⚠️ PASS,🚨 TRAP GAME,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,1.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,,sharp:HOME:3,,UNDER,4,False,,sharp:UNDER:1,,4.8,HOME,-3,UNDER,-1,-1,0,3,0,0,rotowire: missing file path,
New York Giants @ Miami Dolphins,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.1,AWAY,3,UNDER,-1,-1,0,0,-2,0,rotowire: missing file path,
San Francisco 49ers @ Los Angeles Chargers,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.0,HOME,-2,UNDER,0,0,0,0,0,0,rotowire: missing file path,
Atlanta Falcons @ Indianapolis Colts,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.7,HOME,-3,OVER,0,-1,0,0,0,0,rotowire: missing file path,
Las Vegas Raiders @ Houston Texans,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.6,AWAY,3,OVER,2,-3,0,3,-2,0,rotowire: missing file path,
Carolina Panthers @ Jacksonville Jaguars,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,HOME,-1,OVER,0,-3,0,3,0,0,rotowire: missing file path,
Washington Commanders @ Detroit Lions,PRE,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,HOME,0,OVER,0,-1,0,0,0,0,rotowire: missing file path,
