matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Buffalo Bills @ Cleveland Browns,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,6.8,6.8,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,27.9,52.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Buffalo Bills (5.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Seattle Seahawks @ Tennessee Titans,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,52.3,51.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
New York Jets @ Pittsburgh Steelers,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.6,3.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Strong statistical edge to New York Jets (3.4 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Las Vegas Raiders @ Houston Texans,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.9,1.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Houston Texans (5.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Washington Commanders @ Detroit Lions,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,45.1,47.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Detroit Lions (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Atlanta Falcons @ Indianapolis Colts,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Kansas City Chiefs @ Tampa Bay Buccaneers,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,48.8,57.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Tampa Bay Buccaneers (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Dallas Cowboys @ Arizona Cardinals,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,52.1,54.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Arizona Cardinals (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
New York Giants @ Miami Dolphins,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-0.4,0.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,40.5,39.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Miami Dolphins (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
Baltimore Ravens @ Minnesota Vikings,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,0.3,0.3,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Minnesota Vikings (2.0 pts),0,Extreme public sentiment (0% on one side),0,Week PRE2 not found. Available: []...
