matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
Atlanta Falcons @ Pittsburgh Steelers,REG,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,👀 LEAN: Pittsburgh Steelers -3.5 (proceed with caution),spread,HOME,3,,,,,3.0,2.0,,sharp spread edge,spread,HOME,spread candidate cleared threshold and ranked highest,HOME,3,True,,sharp:HOME:3,,OVER,4,False,,ref_weather_context:OVER:2,,9.5,HOME,-3,OVER,0,2,0,0,2,0,rotowire: missing file path,
Denver Broncos @ Kansas City Chiefs,REG,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,1.0,-2.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,1.5,False,,sharp:AWAY:1,,UNDER,4,False,,,ref_weather_context:OVER:-2,8.3,AWAY,1,UNDER,0,3,0,-2,2,0,rotowire: missing file path,
Chicago Bears @ Carolina Panthers,REG,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,1.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,,sharp:AWAY:3,,OVER,4,False,,sharp:OVER:1,,5.0,AWAY,3,OVER,1,0,0,0,0,1,rotowire: missing file path,
New Orleans Saints @ Detroit Lions,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.1,HOME,-3,OVER,3,-1,0,3,-2,0,rotowire: missing file path,
Buffalo Bills @ Houston Texans,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.6,NEUTRAL,0,NEUTRAL,0,2,0,-2,0,0,rotowire: missing file path,
Green Bay Packers @ Minnesota Vikings,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.2,NEUTRAL,0,OVER,0,1,0,-2,-2,0,rotowire: missing file path,
New York Jets @ Tennessee Titans,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.1,AWAY,2,OVER,0,-1,0,-2,-2,1,rotowire: missing file path,
Baltimore Ravens @ Indianapolis Colts,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.7,AWAY,3,UNDER,0,-1,0,0,0,0,rotowire: missing file path,
Dallas Cowboys @ New York Giants,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.7,AWAY,3,OVER,1,-1,0,-2,0,0,rotowire: missing file path,
Tampa Bay Buccaneers @ Cincinnati Bengals,REG,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.3,NEUTRAL,0,OVER,3,-1,0,0,0,1,rotowire: missing file path,
