matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Atlanta Falcons @ Pittsburgh Steelers,REG,2026.1,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,9.5,9.5,spread,HOME,sharp spread edge,spread HOME 3/3 | total OVER 2/4 | final spread HOME,-25.0,1.0,44.7,61.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Strong statistical edge to Atlanta Falcons (3.4 pts),0,Market inefficiency detected (-25.0% sharp edge),0,Week W1 not found. Available: []...
Denver Broncos @ Kansas City Chiefs,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,8.3,8.3,none,,,spread AWAY 1/1.5 | total UNDER -2/4 | final none ,9.0,-1.0,27.6,69.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Denver Broncos (5.0 pts),0,"Market mispricing possible (+9.0% edge), Potential steam move developing",0,Week W1 not found. Available: []...
Chicago Bears @ Carolina Panthers,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.0,5.0,none,,,spread AWAY 3/4 | total OVER 1/4 | final none ,18.0,9.0,41.4,50.0,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,"Market inefficiency detected (+18.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Week W1 not found. Available: []...
New Orleans Saints @ Detroit Lions,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,4.1,4.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-37.0,17.0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Detroit Lions (2.0 pts),0,Market inefficiency detected (-37.0% sharp edge),0,Week W1 not found. Available: []...
Buffalo Bills @ Houston Texans,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.6,3.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,0.0,0.0,25.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Strong statistical edge to Buffalo Bills (3.5 pts),0,Standard market dynamics,0,Week W1 not found. Available: []...
Green Bay Packers @ Minnesota Vikings,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.2,3.2,none,,,spread NA NA/NA | total NA NA/NA | final none ,0.0,3.0,33.3,39.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to Green Bay Packers (1.6 pts),0,Standard market dynamics,0,Week W1 not found. Available: []...
New York Jets @ Tennessee Titans,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.1,3.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,12.0,3.0,37.5,38.5,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Tennessee Titans (2.0 pts),0,Market inefficiency detected (+12.0% sharp edge),0,Week W1 not found. Available: []...
Baltimore Ravens @ Indianapolis Colts,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,23.0,-4.0,50.0,45.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,"Market inefficiency detected (+23.0% sharp edge), Potential steam move developing",0,Week W1 not found. Available: []...
Dallas Cowboys @ New York Giants,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,51.0,5.0,31.6,55.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Giants (2.0 pts),0,Market inefficiency detected (+51.0% sharp edge),0,Week W1 not found. Available: []...
Tampa Bay Buccaneers @ Cincinnati Bengals,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.3,1.3,none,,,spread NA NA/NA | total NA NA/NA | final none ,0.0,17.0,52.1,54.0,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Cincinnati Bengals (2.0 pts),0,Standard market dynamics,0,Week W1 not found. Available: []...
