matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
New England Patriots @ Tampa Bay Buccaneers,REG,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,0.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,NEUTRAL,4,False,no sharp total side,,,9.1,NEUTRAL,0,NEUTRAL,0,3,0,3,0,0,,
Buffalo Bills @ Miami Dolphins,REG,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,NEUTRAL,4,False,no sharp spread side; sharp spread edge required,,,UNDER,4,False,,ref_weather_context:UNDER:2,,8.4,NEUTRAL,0,NEUTRAL,0,3,0,0,-2,0,,
Los Angeles Rams @ San Francisco 49ers,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.6,NEUTRAL,0,NEUTRAL,0,1,0,-2,-2,0,,
New Orleans Saints @ Carolina Panthers,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,3.6,NEUTRAL,0,NEUTRAL,0,2,0,0,0,0,,
Jacksonville Jaguars @ Houston Texans,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.1,NEUTRAL,0,NEUTRAL,0,0,0,3,0,0,,
Atlanta Falcons @ Indianapolis Colts,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,NEUTRAL,0,NEUTRAL,0,-1,0,0,0,0,,
New York Giants @ Chicago Bears,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,1.8,NEUTRAL,0,NEUTRAL,0,1,0,0,0,0,,
Cleveland Browns @ New York Jets,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.8,NEUTRAL,0,NEUTRAL,0,-1,0,0,0,0,,
Arizona Cardinals @ Seattle Seahawks,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-1.1,NEUTRAL,0,NEUTRAL,0,-3,0,3,-2,0,,
Detroit Lions @ Washington Commanders,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-0.4,NEUTRAL,0,NEUTRAL,0,-1,0,-2,0,0,,
Baltimore Ravens @ Minnesota Vikings,REG,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,-0.2,NEUTRAL,0,NEUTRAL,0,-1,0,0,0,0,,
Pittsburgh Steelers @ Los Angeles Chargers,REG,❌ FADE,❌ FADE,OK,,,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-5.4,NEUTRAL,0,NEUTRAL,0,-3,0,0,0,0,,
Las Vegas Raiders @ Denver Broncos,REG,❌ FADE,❌ FADE,OK,,,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-4.0,NEUTRAL,0,NEUTRAL,0,-3,0,-2,0,0,,
Philadelphia Eagles @ Green Bay Packers,REG,❌ FADE,❌ FADE,OK,,,❌ AVOID: Multiple negative factors align,none,,,,,,,,,fade classification,,none,,signal classification was FADE,,,,,,,,,,,,,-2.4,NEUTRAL,0,NEUTRAL,0,-3,0,0,-2,0,,
