matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Buffalo Bills @ Cleveland Browns,🎯 TARGETED PLAY,12.7,12.7,6.0,-22.0,53.1,51.6,4,3,EDGE,0,Found 9 total injuries,-2,"Double-digit spread (10.5) - blowout risk, Late season - motivation concerns",2,Statistical value on home team (+13.5 points),4,"Market mispricing possible (+6.0% edge), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Atlanta Falcons @ Arizona Cardinals,🎯 TARGETED PLAY,9.2,9.2,-4.0,3.0,39.5,53.8,0,8,EDGE,0,Found 10 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
Las Vegas Raiders @ Houston Texans,🎯 TARGETED PLAY,8.7,8.7,9.0,5.0,34.7,46.0,0,5,EDGE,0,Found 5 total injuries,-2,"Large spread (14.5) - potential cupcake game, Late season - motivation concerns",2,Statistical value on away team (11.5 points),1,Market mispricing possible (+9.0% edge),0,Neutral schedule situation (standard rest)
Pittsburgh Steelers @ Detroit Lions,🎯 TARGETED PLAY,7.4,7.4,-12.0,3.0,56.5,46.7,0,3,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.0 points),2,Market inefficiency detected (-12.0% sharp edge),1,Minor rest edge (1 days)
Kansas City Chiefs @ Tennessee Titans,🎯 TARGETED PLAY,5.0,5.0,-3.0,2.0,48.3,51.7,0,2,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Tampa Bay Buccaneers @ Carolina Panthers,📊 LEAN,4.9,4.9,9.0,2.0,55.6,52.9,0,0,NO EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),1,Market mispricing possible (+9.0% edge),-2,AWAY rest advantage (+3 days)
San Francisco 49ers @ Indianapolis Colts,📊 LEAN,4.6,4.6,5.0,1.0,60.0,37.5,0,-1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+8.5 points),1,Market mispricing possible (+5.0% edge),0,Neutral schedule situation (standard rest)
Green Bay Packers @ Chicago Bears,⚠️ LANDMINE,1.3,1.3,1.0,4.0,55.6,33.3,1,0,NO EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,1,Modest statistical edge (1.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ Dallas Cowboys,⚠️ LANDMINE,0.8,0.8,-3.0,6.0,58.2,44.6,0,-2,EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,1,Modest statistical edge (1.5 points),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
Cincinnati Bengals @ Miami Dolphins,⚠️ LANDMINE,0.6,0.6,0.0,-3.0,31.8,63.6,0,-1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+7.5 points),0,Standard market dynamics,-1,Minor rest edge (1 days)
Minnesota Vikings @ New York Giants,⚠️ LANDMINE,0.5,0.5,-7.0,1.0,38.9,35.3,0,1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),1,Market mispricing possible (-7.0% edge),0,Neutral schedule situation (standard rest)
New England Patriots @ Baltimore Ravens,⚠️ LANDMINE,-0.5,0.5,-14.0,2.0,52.6,60.3,1,-2,EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,0,No stat edge,4,"Market inefficiency detected (-14.0% sharp edge), Extreme public sentiment (86% on one side), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Denver Broncos,⚠️ LANDMINE,0.3,0.3,6.0,2.0,44.4,46.3,0,-1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,0,No stat edge,1,Market mispricing possible (+6.0% edge),0,Neutral schedule situation (standard rest)
New York Jets @ New Orleans Saints,❌ FADE,-2.5,2.5,-15.0,0.0,35.3,42.9,0,-1,EDGE,0,Found 11 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (3.5 points),2,Market inefficiency detected (-15.0% sharp edge),0,Neutral schedule situation (standard rest)
