matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Minnesota Vikings @ Dallas Cowboys,📊 LEAN,5.5,5.5,-9.0,6.0,35.4,44.9,0,1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (3.5 points),3,"Market mispricing possible (-9.0% edge), Potential steam move developing",2,HOME rest advantage (+3 days)
Tennessee Titans @ San Francisco 49ers,📊 LEAN,4.7,4.7,-6.0,14.0,41.2,41.2,0,0,NO EDGE,0,Found 4 total injuries,-2,"Double-digit spread (12.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (9.5 points),3,"Market mispricing possible (-6.0% edge), Potential steam move developing",2,HOME rest advantage (+7 days)
Miami Dolphins @ Pittsburgh Steelers,📊 LEAN,4.0,4.0,12.0,-29.0,48.5,51.5,0,0,NO EDGE,0,Found 2 total injuries,-1,Late season - motivation concerns,0,No stat edge,2,Market inefficiency detected (+12.0% sharp edge),0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ Kansas City Chiefs,📊 LEAN,3.1,3.1,5.0,-3.0,35.7,37.0,0,-1,EDGE,0,Found 1 total injuries,-1,Late season - motivation concerns,1,Modest statistical edge (2.5 points),4,"Market mispricing possible (+5.0% edge), Potential steam move developing, High contrarian value (fade the public)",1,Minor rest edge (1 days)
Buffalo Bills @ New England Patriots,⚠️ LANDMINE,2.9,2.9,7.0,12.0,16.7,58.3,0,-2,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+4.5 points),1,Market mispricing possible (+7.0% edge),2,HOME rest advantage (+6 days)
Indianapolis Colts @ Seattle Seahawks,⚠️ LANDMINE,2.3,2.3,-7.0,11.0,47.2,44.4,0,1,EDGE,0,Found 7 total injuries,-2,"Double-digit spread (13.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (10.5 points),1,Market mispricing possible (-7.0% edge),0,Neutral schedule situation (standard rest)
Baltimore Ravens @ Cincinnati Bengals,⚠️ LANDMINE,1.4,1.4,0.0,14.0,47.4,42.1,0,-1,EDGE,0,Found 3 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Green Bay Packers @ Denver Broncos,⚠️ LANDMINE,1.2,1.2,1.0,1.0,42.1,36.8,0,0,NO EDGE,0,Found 4 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Las Vegas Raiders @ Philadelphia Eagles,⚠️ LANDMINE,-0.4,0.4,14.0,-10.0,33.3,44.1,0,-4,EDGE,0,Found 4 total injuries,-2,"Double-digit spread (11.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (8.5 points),2,Market inefficiency detected (+14.0% sharp edge),-1,Minor rest edge (1 days)
New York Jets @ Jacksonville Jaguars,❌ FADE,-4.5,4.5,-15.0,11.0,46.3,55.8,0,-3,EDGE,0,Found 7 total injuries,-2,"Double-digit spread (13.5) - blowout risk, Late season - motivation concerns",2,Statistical value on away team (10.5 points),2,Market inefficiency detected (-15.0% sharp edge),0,Neutral schedule situation (standard rest)
Carolina Panthers @ New Orleans Saints,❌ FADE,-4.1,4.1,-30.0,18.0,37.5,42.9,0,-1,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.0 points),2,Market inefficiency detected (-30.0% sharp edge),-2,AWAY rest advantage (+7 days)
Arizona Cardinals @ Houston Texans,❌ FADE,-3.4,3.4,-3.0,6.0,50.0,47.7,0,-5,EDGE,0,Found 13 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (6.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Washington Commanders @ New York Giants,❌ FADE,-3.2,3.2,0.0,0.0,43.8,34.4,0,-2,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,0,No stat edge,0,Standard market dynamics,2,HOME rest advantage (+6 days)
Detroit Lions @ Los Angeles Rams,❌ FADE,-3.2,3.2,-18.0,10.0,60.7,44.6,0,-4,EDGE,0,Found 6 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (3.0 points),3,"Market inefficiency detected (-18.0% sharp edge), High contrarian value (fade the public)",-2,AWAY rest advantage (+3 days)
Cleveland Browns @ Chicago Bears,❌ FADE,-2.4,2.4,1.0,8.0,48.4,38.7,0,-3,EDGE,0,Found 5 total injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
