matchup,season_type,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,recommendation,pick_market,pick_side,selector_score,source_blocked_market,source_blocked_side,source_blocked_score,source_blocked_recommendation,spread_candidate_score,total_candidate_score,pass_reason,selector_reasons,trace_final_market,trace_final_side,trace_final_reason,trace_spread_side,trace_spread_threshold,trace_spread_cleared,trace_spread_blockers,trace_spread_signals,trace_spread_conflicts,trace_total_side,trace_total_threshold,trace_total_cleared,trace_total_blockers,trace_total_signals,trace_total_conflicts,aggregate_score,sharp_spread_direction,sharp_spread_score,sharp_total_direction,sharp_total_score,statistical_score,injury_score,referee_ats_score,referee_ou_score,weather_score,data_quality_warnings,data_quality_critical_warnings
San Francisco 49ers @ Las Vegas Raiders,PRE,⚠️ PASS,🎯 TARGETED PLAY,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,2.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,3,False,,sharp:AWAY:2,,OVER,4,False,,,,8.4,AWAY,2,OVER,0,3,0,0,0,0,,
Seattle Seahawks @ Kansas City Chiefs,PRE,⚠️ PASS,🎯 TARGETED PLAY,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,1.0,0.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,3,False,,sharp:AWAY:1,,UNDER,4,False,,,,8.3,AWAY,1,UNDER,0,3,0,-2,0,0,,
Los Angeles Rams @ Los Angeles Chargers,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,1.0,1.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,,sharp:AWAY:1,,OVER,4,False,,sharp:OVER:1,,6.9,AWAY,1,OVER,1,3,0,0,0,0,,
Atlanta Falcons @ Miami Dolphins,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,3.0,-2.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,,sharp:AWAY:3,,OVER,4,False,,,ref_weather_context:UNDER:-2,6.0,AWAY,3,OVER,0,-1,0,-2,-2,1,,
New England Patriots @ Cleveland Browns,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,2.0,no market cleared threshold,,none,,no market cleared threshold,HOME,4,False,sharp spread edge required,,,UNDER,4,False,,sharp:UNDER:2,,5.4,HOME,0,UNDER,-2,3,0,0,0,0,,
Houston Texans @ Carolina Panthers,PRE,⚠️ PASS,📊 LEAN,OK,,,⚠️ PASS: Edge score did not isolate a playable market,none,,,,,,,0.0,1.0,no market cleared threshold,,none,,no market cleared threshold,AWAY,4,False,sharp spread edge required,,,OVER,4,False,,sharp:OVER:1,,5.4,AWAY,0,OVER,1,3,0,0,0,0,,
Washington Commanders @ Baltimore Ravens,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.1,HOME,-3,UNDER,-2,-1,0,0,-2,0,,
New Orleans Saints @ Dallas Cowboys,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,4.1,HOME,-3,OVER,2,-1,0,0,2,0,,
Cincinnati Bengals @ Philadelphia Eagles,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,2.9,HOME,-2,OVER,2,-2,0,3,-2,0,,
New York Giants @ New York Jets,PRE,⚠️ PASS,⚠️ LANDMINE,OK,,,"⚠️ PASS: Mixed signals, no clear edge identified",none,,,,,,,,,landmine classification,,none,,signal classification was LANDMINE,,,,,,,,,,,,,1.8,AWAY,1,UNDER,0,-1,0,3,0,0,,
