matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
New England Patriots @ New York Jets,🎯 TARGETED PLAY,5.0,5.0,-3.0,-4.0,55.6,33.3,0,2.0,EDGE,0,Found 1 high-impact injuries,-2,"Double-digit spread (13.0) - blowout risk, Late season - motivation concerns",2,Statistical value on home team (+16.0 points),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
Tampa Bay Buccaneers @ Miami Dolphins,📊 LEAN,4.0,4.0,-13.0,1.0,44.4,46.7,0,2.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+8.5 points),2,Market inefficiency detected (-13.0% sharp edge),0,Neutral schedule situation (standard rest)
Seattle Seahawks @ Carolina Panthers,⚠️ LANDMINE,2.1,2.1,6.0,6.0,28.1,47.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+9.5 points),1,Market mispricing possible (+6.0% edge),-2,AWAY rest advantage (+3 days)
Pittsburgh Steelers @ Cleveland Browns,⚠️ LANDMINE,1.6,1.6,-11.0,8.0,23.1,61.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.5 points),2,Market inefficiency detected (-11.0% sharp edge),0,Neutral schedule situation (standard rest)
Los Angeles Rams @ Atlanta Falcons,⚠️ LANDMINE,-1.4,1.4,-2.0,0.0,46.7,50.0,0,-2.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+10.5 points),0,Standard market dynamics,-2,AWAY rest advantage (+3 days)
New York Giants @ Las Vegas Raiders,⚠️ LANDMINE,1.2,1.2,0.0,3.0,43.2,36.8,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+5.5 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Indianapolis Colts,⚠️ LANDMINE,-1.1,1.1,-24.0,8.0,50.0,40.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+6.5 points),3,"Market inefficiency detected (-24.0% sharp edge), High contrarian value (fade the public)",-1,Minor rest edge (1 days)
New Orleans Saints @ Tennessee Titans,⚠️ LANDMINE,0.3,0.3,-8.0,-2.0,50.0,46.7,0,-1.5,NO EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on home team (+4.5 points),1,Market mispricing possible (-8.0% edge),0,Neutral schedule situation (standard rest)
Arizona Cardinals @ Cincinnati Bengals,❌ FADE,-4.8,4.8,0.0,15.0,37.1,41.7,0,-5.0,EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,2,Statistical value on away team (4.0 points),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Philadelphia Eagles @ Buffalo Bills,❌ FADE,-2.4,2.4,0.0,16.0,50.0,37.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Chicago Bears @ San Francisco 49ers,❌ FADE,-2.3,2.3,-5.0,11.0,40.0,66.7,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,0,No stat edge,1,Market mispricing possible (-5.0% edge),-1,Minor rest edge (1 days)
